normalized_name,display_name,population,area_km2
dolnośląskie,Dolnośląskie,2889716,19947
kujawsko-pomorskie,Kujawsko-Pomorskie,2007499,17972
lubelskie,Lubelskie,2040908,25122
lubuskie,Lubuskie,985196,13988
łódzkie,Łódzkie,2415123,18219
małopolskie,Małopolskie,3437558,15183
mazowieckie,Mazowieckie,5539015,35558
opolskie,Opolskie,936128,9412
podkarpackie,Podkarpackie,2072720,17846
podlaskie,Podlaskie,1141168,20187
pomorskie,Pomorskie,2359729,18310
śląskie,Śląskie,4315906,12333
świętokrzyskie,Świętokrzyskie,1181618,11711
warmińsko-mazurskie,Warmińsko-Mazurskie,1389432,24173
wielkopolskie,Wielkopolskie,3519716,29826
zachodniopomorskie,Zachodniopomorskie,1651690,22905
